ID,OffID,Pop,Fruit,Selfed,Hac_C7,Hac_D1,Hb_B9,Hb_C115,Hac_C114,Hac_B6,Hac_B4,Hac_A103,Hac_A116,Hc_C7,Hc_C126
12D,7,12,12D3,No,225:225,183:183,357:360,276:288,372:372,285:285,243:252,194:206,302:302,345:348,249:249
12D,8,12,12D4,No,225:225,180:183,342:360,285:285,372:372,291:291,240:243,194:200,302:302,345:345,249:249
12D,9,12,12D4,No,225:225,183:186,360:366,285:288,372:372,291:291,243:255,198:200,294:302,345:345,249:249
12D,10,12,12D5,No,219:225,183:183,360:360,276:285,372:372,285:291,249:252,194:206,302:302,348:357,249:249
12D,11,12,12D6,No,219:225,183:183,357:360,285:288,372:372,285:285,249:252,194:200,302:302,348:363,249:255
12D,12,12,12D7,No,225:225,183:183,360:360,285:285,372:372,285:291,240:243,204:206,302:302,345:345,249:249
12E,0,12,NA,No,225:225,180:183,345:360,276:276,372:372,285:285,249:252,194:206,302:302,345:357,249:249
12E,1,12,12E2,No,225:225,180:180,345:360,276:285,372:372,285:291,243:252,194:194,302:302,357:363,249:249
12E,2,12,12E3,No,NA,180:180,NA,NA,372:372,NA,249:252,194:194,302:302,NA,249:249
12E,3,12,12E3,No,225:225,180:180,360:360,276:288,372:372,291:291,249:252,204:206,302:302,345:348,249:249
12E,4,12,12E4,No,219:225,180:180,345:360,276:297,372:372,285:285,249:252,204:206,302:302,345:345,249:249
12E,5,12,12E4,No,219:225,180:180,360:360,276:276,372:372,285:285,249:252,192:206,302:302,345:357,249:249
12E,6,12,12E5,No,225:225,180:183,345:360,276:285,372:372,285:285,240:252,194:194,302:302,342:357,249:249
12E,7,12,12E6,No,219:225,180:180,357:360,276:276,372:372,291:291,249:252,200:206,302:302,345:357,249:249
12E,8,12,12E7,No,219:225,180:183,360:360,276:288,372:372,285:291,249:252,194:194,302:302,357:357,249:249
12E,9,12,12E7,No,225:225,180:183,345:369,276:297,372:372,285:291,240:252,198:206,302:302,345:363,249:249
12E,10,12,12E8,No,219:225,180:183,351:360,276:297,372:372,285:291,249:252,190:206,302:302,354:357,249:249
16A,0,16,NA,No,225:225,180:189,360:360,276:279,372:372,285:291,240:252,194:194,302:302,345:348,249:249
16A,1,16,16A1,No,219:225,180:183,360:366,276:285,372:372,285:285,252:255,194:194,302:302,345:348,249:249
16A,2,16,16A1,No,219:225,180:183,NA,NA,372:372,285:285,240:255,194:194,302:302,345:348,249:249
16A,3,16,16A1,No,225:225,180:183,360:366,279:288,372:372,291:291,240:252,194:194,302:302,348:348,249:249
16A,4,16,16A3,No,NA,180:180,NA,279:291,372:372,285:288,249:252,190:194,302:302,348:348,249:249
16A,5,16,16A3,No,225:225,180:180,360:360,279:297,372:375,285:285,243:252,194:194,302:302,345:354,249:249
16A,6,16,16A3,No,219:225,180:183,360:360,279:297,372:372,285:291,240:252,190:194,302:302,348:348,249:249
16A,7,16,16A4,No,225:225,183:183,357:360,276:285,372:375,291:291,237:240,194:194,302:302,348:348,249:249
16A,8,16,16A4,No,225:225,183:183,360:360,276:285,372:375,291:291,249:252,194:200,302:302,345:345,249:249
16A,9,16,16A5,Yes,225:225,180:183,360:360,276:279,372:372,285:291,NA,194:194,302:302,348:348,249:249
16A,10,16,16A5,No,219:225,180:183,360:360,276:276,372:372,285:285,240:255,194:194,302:302,NA,249:249
16A,11,16,16A6,Yes,225:225,180:180,360:360,276:279,372:372,285:291,NA,194:194,302:302,345:348,249:249
